Horodateur,De quel streamer as-tu suivi la saison en majorité ?,"1 - Héros de la saison

Un joueur reconnu pour son intégrité et son honneur, bien qu'il soit prêt à quelques mensonges pour gagner. Il veut porter la saison vers le haut.","2 - Vilain de la saison

Un joueur prêt à tout pour gagner, même les manigances les plus maléfiques. Mensonges, trahisons et manipulation sont ses mots fétiches.","3 - Best Prémerge

Une personne qui a été éliminé en pre-merge (de 11ème à 18ème) qui vous a particulièrement marquée, que ça soit par son jeu ou juste par simple fait que vous l'appréciez beaucoup !","4 - Mérite de revenir

Le joueur qui devrait ABSOLUMENT avoir une seconde chance car il n'a pas eu le temps de montrer tout ce qu'il avait dans le ventre ou alors que vous l'avez juste adoré et que vous voulez revoir ses prouesses.","5 - Surprise de la saison

Le joueur qui vous a le plus surpris. Au début de la saison, vous vous dites que X n'allait pas faire grand chose/n'allait pas tenir longtemps, et au final, il a accompli bien plus que vous le pensiez !","6 - Best Stratège

Celui qui a fait le plus de stratégies, aussi bien de façon ouverte que dans le dos des gens. Il veut contrôler son destin à 100%, mais aussi celui des autres ...","7 - Best Social

Celui qui a réussi à nouer de nombreuses relations avec les personnes sur le campement. Il veut peut-être avoir beaucoup d'alliances, ou peut tout justement bien s'entendre avec tout le monde par son enthousiasme !","8 - Best Conseil

Quel a été le meilleur conseil de la saison, le plus marquant ? Celui qui a été éliminé à ce conseil emporte cet award ... c'est un bon compromis, non ?","9 - Challenge Beast

Qui est le joueur ayant le plus dominé sur les épreuves lors de la saison ?","10 - Best alliance

Quelle était la meilleure alliance (au moins 3 personnes)
Il y a différentes propositions, mais vous êtes libres d'ajouter une autre alliance, merci de respecter la syntaxe suivante : 
[Pseudo1]/[Pseudo2]/[Pseudo3]/...","11 - Best Rivalité

2 personnes qui ne peuvent pas se saquer ! Il y a différentes propositions, mais vous êtes libres d'ajouter un autre duo, merci de respecter la syntaxe suivante :
[Pseudo1]/[Pseudo2])","12 - Best Duo

Le duo qui a marqué la saison ! Il y a différentes propositions, mais vous êtes libres d'ajouter un autre duo, merci de respecter la syntaxe suivante : 
[Pseudo1]/[Pseudo2]","13 - Best Avantage Play

Quel avantage a été le mieux joué selon vous, et a le plus retourné le jeu en la faveur de la personne ?","14 - Worst Avantage Play

A contrario, quel avantage a été le moins bien joué dans la saison ?","15 - Best move

Quel move (pas forcément avec un avantage) a été réalisé cette saison et que vous avez préféré ?","16 - Fan Favorite

Quel a été le joueur que vous avez globalement adoré, peu importe les critères.
LE joueur parmi les joueurs !","17 - Meme de la saison

Le meme de la saison. Une chose drôle à laquelle on pense DIRECTEMENT quand on parle de la S21 !",Si vous devriez mettre une note à la saison ...,(Si vous voulez mettre un petit commentaire sur la saison)
22/03/2025 16:09:08,Commu Survisland,? - Humility,11 - Laupok,13 - Lapin,13 - Lapin,6 - Flannou,? - Mathox,5 - Lvcyd,10 - DemaZelle,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Laupok/Martin,Humility/Guill,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),11 - Laupok,Les Hwasan développent une addiction aux croissants,17/20,Géniale
22/03/2025 19:51:41,Commu Survisland,5 - Lvcyd,15 - Martin (Ponk),13 - Lapin,11 - Laupok,11 - Laupok,? - Anaee,? - Mathox,10 - DemaZelle,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Laupok/Martin,Mathox/Kao,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),11 - Laupok,Mathox qui construit son Harem,14/20,Rat
22/03/2025 18:44:54,Guill,7 - Guill,7 - Guill,15 - Martin (Ponk),7 - Guill,7 - Guill,7 - Guill,7 - Guill,7 - Guill,7 - Guill,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),7 - Guill,Mathox qui construit son Harem,8/20,
22/03/2025 18:45:09,Flannou,6 - Flannou,11 - Laupok,15 - Martin (Ponk),12 - Kao,? - Anaee,6 - Flannou,? - Humility,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Guill,Lvcyd/Flannou,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),6 - Flannou,Mathox qui construit son Harem,17/20,
22/03/2025 18:45:17,Guill,11 - Laupok,15 - Martin (Ponk),12 - Kao,11 - Laupok,11 - Laupok,8 - Jimmy,5 - Lvcyd,8 - Jimmy,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Guill/Laupok,,Flannou joue son idol (F10),Laupok fait un gros blindside sur Ponk (F15),? - Julgane,Julgane qui a passé sa vie à random.org au lieu de créer du content,17/20,
22/03/2025 18:45:29,Guill,? - Mathox,? - Mathox,12 - Kao,12 - Kao,5 - Lvcyd,? - Mathox,? - Mathox,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Mathox/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",5 - Lvcyd,Lvcyd qui vole tout sur les épreuves,17/20,
22/03/2025 18:45:39,Guill,7 - Guill,7 - Guill,13 - Lapin,7 - Guill,7 - Guill,7 - Guill,7 - Guill,7 - Guill,7 - Guill,Guill/Lvcyd/Mathox/Humility,Flannou/Guill,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),,,,,,
22/03/2025 18:45:50,Guill,? - Mathox,7 - Guill,12 - Kao,11 - Laupok,6 - Flannou,7 - Guill,? - Mathox,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Guill,DemaZelle/Laupok,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Kao et ses vannes sur tout (notamment les champignons),16/20,
22/03/2025 18:45:56,Guill,7 - Guill,? - Mathox,16 - Sundae,18 - Cizayoxy,? - Mathox,? - Mathox,5 - Lvcyd,5 - Lvcyd,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Flannou joue son idol (F10),Laupok fait un gros blindside sur Ponk (F15),7 - Guill,Mathox qui construit son Harem,20/20,Incroyable 
22/03/2025 18:45:59,Guill,? - Mathox,7 - Guill,14 - Chloe,? - Mathox,? - Mathox,? - Mathox,? - Mathox,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Mathox/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),,L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Mathox,Mathox qui construit son Harem,20/20,bravo.
